Audi,A6,2002
Volkswagen,Golf,2005
Toyota,T100,1998
Ford,Explorer,1997
Mercury,Sable,1994
Volvo,960,1994
Mitsubishi,Endeavor,2005
Chevrolet,Astro,1997
Mitsubishi,Eclipse,2007
Mitsubishi,Endeavor,2008
Chrysler,New Yorker,1994
Toyota,TundraMax,2007
Chrysler,300,2012
GMC,2500,1999
Lexus,RX,2008
Chrysler,LHS,1994
Ford,EXP,1987
BMW,7 Series,2000
Ford,Crown Victoria,1998
Ford,Crown Victoria,1993
Kia,Carens,2007
Chevrolet,Express 1500,2007
Audi,A8,1998
Honda,Insight,2004
Nissan,Versa,2012
Mazda,Mazda3,2004
Chevrolet,Cobalt,2010
Chevrolet,Silverado 1500,2002
Nissan,Maxima,2007
Mitsubishi,Mirage,1991
Mercedes-Benz,S-Class,2001
Land Rover,Defender,1997
BMW,7 Series,2002
Mitsubishi,Starion,1989
Chevrolet,Express,2008
BMW,M3,2001
Nissan,Rogue,2010
Audi,R8,2011
Chevrolet,Cruze,2012
Volkswagen,Jetta,2001
GMC,Jimmy,1999
Mazda,B-Series,1986
Mazda,323,1993
Austin,Mini Cooper S,1963
Ford,Festiva,1988
Dodge,Ram 2500,1999
Porsche,Cayenne,2008
Volvo,C70,2009
GMC,Savana 2500,1997
Mazda,Tribute,2006
